流水號,開課系所,課程概述,課程目標,課程要求,評量方式,預期學習時數
15338,農業化學系,,,,,
45451,農業化學系,,,,,
26526,農業化學系,,,,,
46261,農業化學系,,,,,
38407,農業化學系,,,,,
95085,農業化學系,,,,,
30848,農業化學系,,,,,
11808,農業化學系,,,,,
24288,農業化學系,,,,,
18874,農業化學系,,,,,
16600,農業化學系,,,,,
10756,農業化學系,,,,,
58765,農業化學系,,,,,
25574,農業化學系,,,,,
35748,農業化學系,,,,,
33403,農業化學系,,,,,
58401,農業化學系,,,,,
36576,農業化學系,,,,,
50372,農業化學系 / 農業化學研究所,,,,,
49341,農業化學研究所,,,,,
44022,農業化學研究所,,,,,
44865,農業化學研究所,,,,,
47390,農業化學研究所,,,,,
27025,農業化學研究所,,,,,
35840,農業化學研究所,,,,,
13151,農業化學研究所,,,,,
31899,農業化學研究所,,,,,
51785,農業化學研究所,,,,,
50268,農業化學研究所,,,,,
25229,農業化學研究所,,,,,
31285,農業化學研究所,,,,,
59249,農業化學研究所,,,,,
55846,農業化學研究所,,,,,
24277,農業化學研究所,,,,,
57932,農業化學研究所,,,,,
38274,農業化學研究所,,,,,
13617,農業化學研究所,,,,,
57674,農業化學研究所,,,,,
29796,農業化學研究所,,,,,
15342,農業化學研究所,,,,,
10903,農業化學研究所,,,,,
30020,會計學系,,,,,
20134,會計學系,,,,,
50755,會計學系,,,,,
49262,會計學系,,,,,
11141,會計學系 / 會計專業與永續職涯學分學程,,,,,
32214,會計學系 / 會計專業與永續職涯學分學程,,,,,
55690,會計學研究所 / 商業資料分析學分學程,,,,,
27705,會計學研究所,,,,,
49014,會計學研究所,,,,,
44645,會計學研究所,,,,,
14424,無授課對象,,,,,
49150,無授課對象,,,,,
15962,無授課對象,,,,,
12057,農業經濟學系,,,,,
52964,農業經濟學系,,,,,
39910,農業經濟學系,,,,,
18312,農業經濟學系 / 農業經濟學研究所,,,,,
55705,農業經濟學系,,,,,
19057,農業經濟學系,,,,,
47646,農業經濟學系,,,,,
13194,農業經濟學系,,,,,
36960,農業經濟學系,,,,,
50691,農業經濟學系,,,,,
17378,農業經濟學系,,,,,
44530,農業經濟學系,,,,,
59558,農業經濟學系,,,,,
20257,農業經濟學系,,,,,
19902,農業經濟學研究所,,,,,
15408,農業經濟學研究所,,,,,
34016,農業經濟學研究所,,,,,
47046,農業經濟學研究所,,,,,
12221,農業經濟學研究所,,,,,
25128,農業經濟學研究所,,,,,
34090,農業經濟學研究所,,,,,
52255,農業經濟學研究所,,,,,
25885,農業經濟學研究所,,,,,
11113,農業經濟學研究所,,,,,
19359,農業經濟學研究所,,,,,
59355,農業經濟學研究所,,,,,
17646,農業經濟學研究所,,,,,
55158,農業經濟學研究所,,,,,
52698,農業經濟學研究所,,,,,
31774,農業經濟學研究所,,,,,
14327,農業經濟學研究所,,,,,
16718,農業經濟學研究所,,,,,
17862,農業經濟學研究所,,,,,
43793,農業經濟學研究所,,,,,
95087,農業經濟學研究所,,,,,
22264,農業經濟學研究所,,,,,
27797,農業經濟學研究所,,,,,
51428,農業經濟學研究所,,,,,
34454,農業經濟學研究所,,,,,
19906,農業經濟學研究所,,,,,
26397,農業經濟學研究所,,,,,
21677,農業經濟學研究所,,,,,
56138,農業經濟學研究所,,,,,
59796,農業經濟學研究所,,,,,
19474,農業經濟學研究所,,,,,
21844,農業經濟學研究所,,,,,
20333,,,,,,
53373,,,,,,
10074,生物資源暨農學院 / 植物病理與微生物學系 / 生物機電工程學系 / 生物產業傳播暨發展學系 / 獸醫學系 / 園藝暨景觀學系 / 動物科學技術學系 / 森林環境暨資源學系 / 農業化學系 / 生物環境系統工程學系,,,,,
11662,生物資源暨農學院 / 植物病理與微生物學系 / 生物機電工程學系 / 生物產業傳播暨發展學系 / 獸醫學系 / 園藝暨景觀學系 / 動物科學技術學系 / 森林環境暨資源學系 / 農業化學系 / 生物環境系統工程學系,,,,,
13688,,,,,,
22350,,,,,,
53791,無授課對象,,,,,
55283,無授課對象,,,,,
24328,無授課對象,,,,,
58557,無授課對象,,,,,
40981,無授課對象,,,,,
58935,無授課對象,,,,,
34030,農藝學系,,,,,
18496,農藝學系,,,,,
17524,農藝學系,,,,,
38930,農藝學系,,,,,
51792,農藝學系,,,,,
22362,農藝學研究所,,,,,
36323,農藝學研究所,,,,,
52369,農藝學研究所,,,,,
19019,農藝學研究所,,,,,
53585,農藝學研究所,,,,,
19598,農藝學研究所,,,,,
37933,作物科學組 / 生物統計學組,,,,,
56161,農藝學研究所,,,,,
57017,農藝學研究所,,,,,
45761,農藝學研究所,,,,,
56448,生物統計學組,,,,,
21800,作物科學組 / 生物統計學組,,,,,
14441,臺灣大專院校人工智慧學程聯盟,,,,,
29188,臺灣大專院校人工智慧學程聯盟,,,,,
29760,臺灣大專院校人工智慧學程聯盟,,,,,
29535,應用力學研究所,,,,,
56299,應用力學研究所,,,,,
30937,應用力學研究所,,,,,
47676,應用力學研究所,,,,,
26735,應用力學研究所,,,,,
35075,應用力學研究所,,,,,
25467,應用力學研究所,,,,,
16472,應用力學研究所,,,,,
40433,應用力學研究所,,,,,
52929,應用力學研究所,,,,,
48427,應用力學研究所,,,,,
50169,應用力學研究所,,,,,
35937,應用力學研究所,,,,,
24385,應用力學研究所,,,,,
54039,應用力學研究所,,,,,
50618,應用力學研究所,,,,,
10195,應用力學研究所,,,,,
19907,應用力學研究所,,,,,
49790,應用力學研究所,,,,,
21184,應用力學研究所,,,,,
16273,應用力學研究所,,,,,
43776,應用力學研究所,,,,,
28411,應用力學研究所,,,,,
55702,應用力學研究所,,,,,
21657,應用力學研究所,,,,,
58563,應用力學研究所,,,,,
38380,應用力學研究所 / 奈米科技學程,,,,,
11041,應用力學研究所,,,,,
29271,應用力學研究所,,,,,
15885,應用力學研究所,,,,,
22107,解剖學暨細胞生物學研究所,,,,,
54611,解剖學暨細胞生物學研究所,,,,,
24867,解剖學暨細胞生物學研究所,,,,,
32482,動物科學技術學系,,,,,
47605,動物科學技術學系,,,,,
57283,,,,,,
22641,動物科學技術學系,,,,,
26803,動物科學技術學系,,,,,
22420,動物科學技術學系,,,,,
15424,動物科學技術學研究所,,,,,
15422,動物科學技術學研究所,,,,,
42929,動物科學技術學研究所,,,,,
51158,動物科學技術學研究所,,,,,
46663,動物科學技術學研究所,,,,,
53230,動物科學技術學研究所,,,,,
38289,動物科學技術學研究所,,,,,
19779,動物科學技術學研究所,,,,,
40325,動物科學技術學研究所,,,,,
40198,動物科學技術學研究所,,,,,
10395,動物科學技術學研究所,,,,,
45913,動物科學技術學研究所,,,,,
55572,動物科學技術學研究所,,,,,
32128,動物科學技術學研究所,,,,,
17115,動物科學技術學研究所,,,,,
13393,動物科學技術學研究所,,,,,
29128,動物科學技術學研究所,,,,,
58900,動物科學技術學研究所,,,,,
20803,動物科學技術學研究所,,,,,
95084,人類學研究所,,,,,
28264,人類學研究所,,,,,
58294,人類學研究所,,,,,
57926,人類學研究所,,,,,
40011,人類學研究所,,,,,
15209,物理學研究所 / 應用物理學研究所,,,,,
12446,應用物理學研究所,,,,,
55134,應用物理學研究所,,,,,
54919,藝術史研究所,,,,,
40217,藝術史研究所,,,,,
25798,藝術史研究所 / 亞洲藝術學程,,,,,
41866,藝術史研究所,,,,,
36167,藝術史研究所,,,,,
52879,藝術史研究所,,,,,
51990,天文物理研究所,,,,,
35053,天文物理研究所,,,,,
31286,天文物理研究所,,,,,
34056,大氣科學研究所,,,,,
20074,大氣科學研究所,,,,,
95053,大氣科學研究所,,,,,
22871,大氣科學研究所,,,,,
15555,大氣科學系 / 離岸風力發電學分學程 / 地球系統科學學程 / 大氣科學研究所,,,,,
95045,大氣科學研究所 / 大氣科學系,,,,,
31864,大氣科學研究所,,,,,
52190,大氣科學研究所,,,,,
48270,大氣科學系 / 大氣科學研究所,,,,,
95052,大氣科學研究所,,,,,
42250,大氣科學研究所,,,,,
17476,企業管理組,,,,,
49131,企業管理組,,,,,
38514,企業管理組,,,,,
20829,企業管理組,,,,,
41870,企業管理組,,,,,
38390,企業管理組,,,,,
15445,企業管理組 / 會計專業與永續職涯學分學程,,,,,
41611,,,,,,
24050,科技管理組,,,,,
25169,科技管理組,,,,,
16040,工商管理學系,,,,,
53098,永續化學科技國際研究生博士學位學程 / 生命科學院院學士學位 / 生化科學研究所,,,,,
20967,生化科學研究所,,,,,
26281,生化科學研究所,,,,,
10209,生化科學研究所,,,,,
11517,生化科學研究所,,,,,
30564,生化科學研究所,,,,,
57418,生化科學研究所,,,,,
26402,生化科學研究所,,,,,
32119,,,,,,
43516,生化科學研究所,,,,,
31808,生化科學研究所,,,,,
33361,生化科學研究所,,,,,
32609,生化科學研究所,,,,,
50297,生化科學研究所,,,,,
39206,生化科學研究所,,,,,
45946,生化科學研究所,,,,,
49699,生化科學研究所,,,,,
33616,生化科學研究所,,,,,
33035,生化科學研究所,,,,,
47785,生化科學研究所,,,,,
50128,生化科學研究所,,,,,
44893,生化科學研究所,,,,,
46499,生化科學研究所,,,,,
47453,生化科學研究所,,,,,
47467,生化科學研究所,,,,,
42885,生化科學研究所,,,,,
30987,生化科學研究所,,,,,
54831,生化科學研究所,,,,,
58105,生化科學研究所,,,,,
15610,生化科學研究所,,,,,
51488,生化科學研究所,,,,,
36898,生化科學研究所,,,,,
59380,生化科學研究所,,,,,
36889,生化科學研究所,,,,,
54377,生化科學研究所,,,,,
57872,生化科學研究所,,,,,
48004,生化科學研究所,,,,,
50494,生化科學研究所,,,,,
34828,生化科學研究所,,,,,
18671,生化科學研究所,,,,,
57261,生化科學研究所,,,,,
18391,生化科學研究所,,,,,
42447,生化科學研究所,,,,,
15059,生化科學研究所,,,,,
52213,生醫電子與資訊學研究所,,,,,
51048,生醫電子與資訊學研究所,,,,,
20025,生醫電子與資訊學研究所,,,,,
26013,生醫電子與資訊學研究所,,,,,
23390,,,,,,
27436,生醫電子與資訊學研究所,,,,,
43334,,,,,,
51023,生醫電子與資訊學研究所,,,,,
47670,,,,,,
27963,生醫電子與資訊學研究所,,,,,
25374,生醫電子與資訊學研究所,,,,,
51530,生醫電子與資訊學研究所,,,,,
21345,,,,,,
14491,生醫電子與資訊學研究所,,,,,
36142,生醫電子與資訊學研究所,,,,,
42767,生醫電子與資訊學研究所,,,,,
13646,生醫電子與資訊學研究所,,,,,
18304,,,,,,
41371,生醫電子與資訊學研究所,,,,,
37042,生醫電子與資訊學研究所,,,,,
30529,生醫電子與資訊學研究所,,,,,
45500,生醫電子與資訊學研究所,,,,,
19437,生醫電子與資訊學研究所,,,,,
23836,生醫電子與資訊學研究所,,,,,
23321,生醫電子與資訊學研究所,,,,,
48828,生醫電子與資訊學研究所,,,,,
25204,生醫電子與資訊學研究所,,,,,
16226,生醫電子與資訊學研究所,,,,,
43363,生醫電子與資訊學研究所,,,,,
58514,生醫電子與資訊學研究所,,,,,
41752,生醫電子與資訊學研究所,,,,,
11939,生醫電子與資訊學研究所,,,,,
24261,生醫電子與資訊學研究所,,,,,
18338,生醫電子與資訊學研究所,,,,,
37101,生醫電子與資訊學研究所,,,,,
45082,生醫電子與資訊學研究所,,,,,
32403,生醫電子與資訊學研究所,,,,,
42170,生醫電子與資訊學研究所,,,,,
50164,生物產業傳播暨發展學系,,,,,
53398,生物產業傳播暨發展學系,,,,,
55744,生物產業傳播暨發展學系,,,,,
39739,生物產業傳播暨發展學系,,,,,
50539,生物產業傳播暨發展學系,,,,,
14912,生物產業傳播暨發展學系,,,,,
23413,生物產業傳播暨發展學研究所,,,,,
41718,生物產業傳播暨發展學研究所,,,,,
52196,生物產業傳播暨發展學研究所,,,,,
41363,生物產業傳播暨發展學研究所,,,,,
54826,生物產業傳播暨發展學研究所,,,,,
27828,生物產業傳播暨發展學研究所,,,,,
31640,生物產業傳播暨發展學研究所,,,,,
25077,生物產業傳播暨發展學研究所,,,,,
12999,建築與城鄉研究所 / 生物產業傳播暨發展學研究所,,,,,
15884,生物產業傳播暨發展學研究所,,,,,
50234,生物產業傳播暨發展學研究所,,,,,
57672,生物產業傳播暨發展學研究所,,,,,
14122,生物產業傳播暨發展學研究所,,,,,
36253,生物產業傳播暨發展學研究所,,,,,
21652,生物產業傳播暨發展學研究所,,,,,
32165,生物化學暨分子生物學研究所,,,,,
57991,生物化學暨分子生物學研究所,,,,,
17952,生物科技研究所,,,,,
48637,生物科技研究所,,,,,
56729,生物科技研究所,,,,,
40482,生物科技研究所,,,,,
21760,生物科技研究所,,,,,
19159,生物科技研究所,,,,,
38124,生物科技研究所,,,,,
55499,生物科技研究所,,,,,
52013,生物科技研究所,,,,,
15152,生物科技研究所,,,,,
59129,生物科技研究所,,,,,
12082,生物科技研究所,,,,,
15802,生物科技研究所,,,,,
59135,生物科技研究所,,,,,
28234,生物科技研究所,,,,,
10597,生物科技研究所,,,,,
18190,生物科技研究所,,,,,
15574,生物科技研究所,,,,,
49495,生物科技研究所,,,,,
26470,生物科技研究所,,,,,
25315,生物科技研究所,,,,,
16794,生物科技研究所,,,,,
13827,生物科技研究所,,,,,
29049,生物科技研究所,,,,,
29979,生物科技研究所,,,,,
25871,生物科技研究所,The aim of this course is provide students a state of the art of the knowledge in early embryo development and pluripotent stem cells (i.e. embryonic stem cells and induced pluripotent stem cells) research and its applications. Students will be asked to present in particular topic they were assign.,Understand the early embryo development and modern reproductive biotechnologies,碩士班及博士班修習過生殖生理學、胚胎生物學、人數限制 3 人,,
10501,生物科技研究所,,,,,
33191,生物機電工程學系,,,,,
44959,生物機電工程學系,,,,,
55443,生物機電工程學系,,,,,
42769,生物機電工程學系,,,,,
50340,生物機電工程學系,,,,,
15263,生物機電工程學系,,,,,
45019,生物機電工程學系,,,,,
11710,生物機電工程學系,,,,,
19559,生物機電工程學系,,,,,
45544,生物機電工程學系,,,,,
48790,生物機電工程學系,,,,,
56585,生物機電工程學系,,,,,
43036,生物機電工程學系,,,,,
38903,生物機電工程學系,,,,,
17318,生物機電工程學系,,,,,
21309,生物機電工程學系,,,,,
95033,生物機電工程學研究所,,,,,
40395,生物機電工程學研究所,,,,,
23734,生物機電工程學研究所,,,,,
12517,生物機電工程學研究所,,,,,
51560,生物機電工程學研究所,,,,,
54706,生物機電工程學研究所,,,,,
34679,生物機電工程學研究所,,,,,
31253,生物機電工程學研究所,,,,,
14172,生物機電工程學研究所,,,,,
18739,生物機電工程學研究所,,,,,
51522,生物機電工程學研究所,,,,,
19389,生物機電工程學研究所,,,,,
10560,生物機電工程學研究所,,,,,
32510,生物機電工程學研究所,,,,,
53094,生物機電工程學研究所,,,,,
40115,生物機電工程學研究所,,,,,
29920,生物機電工程學研究所,,,,,
95031,生物機電工程學研究所,,,,,
95032,生物機電工程學研究所,,,,,
49028,生物機電工程學研究所,,,,,
52453,生物機電工程學研究所,,,,,
31587,生物機電工程學研究所,,,,,
19640,生物機電工程學研究所,,,,,
49043,生物機電工程學研究所,,,,,
47449,生物機電工程學研究所,,,,,
22011,生物機電工程學研究所,,,,,
18311,生物機電工程學研究所,,,,,
33027,生物機電工程學研究所,,,,,
37418,生物機電工程學研究所,,,,,
28460,生物機電工程學研究所,,,,,
17858,生物機電工程學研究所,,,,,
12248,生物機電工程學研究所,,,,,
17794,生物機電工程學研究所,,,,,
41726,建築與城鄉研究所 / 老人與長期照護學程,,,,,
16231,建築與城鄉研究所,,,,,
14265,建築與城鄉研究所,,,,,
34513,生物環境系統工程學系,,,,,
19493,生物環境系統工程學系,,,,,
11946,生物環境系統工程學系,,,,,
17856,生物環境系統工程學系,,,,,
34780,生物環境系統工程學系,,,,,
47581,,,,,,
51470,生物環境系統工程學系,,,,,
15154,生物環境系統工程學系,,,,,
27071,生物環境系統工程學系,,,,,
33252,生物環境系統工程學系,,,,,
20754,生物環境系統工程學系,,,,,
46397,生物環境系統工程學系,,,,,
41888,生物環境系統工程學系,,,,,
46270,生物環境系統工程學系 / 生物環境系統工程學研究所,,,,,
40584,生物環境系統工程學系 / 生物環境系統工程學研究所,,,,,
43939,生物環境系統工程學系 / 會計專業與永續職涯學分學程 / 環境社會治理學分學程 / 建築設計學分學程,,,,,
50535,生物環境系統工程學研究所 / 生物環境系統工程學系,,,,,
35484,生物環境系統工程學系 / 生物環境系統工程學研究所,,,,,
34697,生物環境系統工程學系 / 生物環境系統工程學研究所,,,,,
41859,生物環境系統工程學研究所,,,,,
43305,生物環境系統工程學研究所,,,,,
34893,生物環境系統工程學研究所,,,,,
31060,生物環境系統工程學研究所,,,,,
49905,生物環境系統工程學研究所,,,,,
54202,生物環境系統工程學研究所,,,,,
37912,生物環境系統工程學研究所,,,,,
42779,生物環境系統工程學研究所,,,,,
43887,生物環境系統工程學研究所,,,,,
14500,生物環境系統工程學研究所,,,,,
47919,生物環境系統工程學研究所,,,,,
53549,生物環境系統工程學研究所,,,,,
17186,生物環境系統工程學研究所,,,,,
19211,學士後護理學系,,,,,
45111,學士後護理學系,,,,,
41134,學士後護理學系,,,,,
24198,生化科技學系,,,,,
45296,生化科技學系,,,,,
47942,生化科技學系,,,,,
34275,生化科技學系,,,,,
59278,生化科技學系,,,,,
48157,生化科技學系,,,,,
20915,生化科技學系,,,,,
50891,生化科技學系,,,,,
24376,生化科技學系,,,,,
31747,生化科技學系,,,,,
23463,生化科技學系 / 生命科學院院學士學位,,,,,
46282,生化科技學系,,,,,
39075,生化科技學系,,,,,
11788,生化科技學系,,,,,
11863,生化科技學系,,,,,
42351,生化科技學系,,,,,
29859,生化科技學系,,,,,
12553,生化科技學系,,,,,
33806,生化科技學系,,,,,
17727,生化科技學系,,,,,
31039,,,,,,
46877,,,,,,
10620,,,,,,
16060,,,,,,
48497,,,,,,
45448,生化科技研究所,,,,,
40869,生化科技研究所,,,,,
50489,生化科技研究所,,,,,
34098,生化科技研究所,,,,,
22783,生化科技研究所,,,,,
39922,生化科技研究所,,,,,
42506,生化科技研究所,,,,,
34155,生化科技研究所,,,,,
46240,生化科技研究所,,,,,
56210,生化科技研究所,,,,,
39186,生化科技研究所,,,,,
20778,生化科技研究所,,,,,
12619,生化科技研究所,,,,,
46678,生化科技研究所,,,,,
52744,生化科技研究所,,,,,
50551,生化科技研究所,,,,,
47495,生化科技研究所,,,,,
95083,生化科技研究所,,,,,
54778,生化科技研究所,,,,,
39573,生化科技研究所,,,,,
25529,生化科技研究所,,,,,
38766,無授課對象,,,,,
14201,無授課對象,,,,,
17056,臨床牙醫學研究所,,,,,
45862,臨床牙醫學研究所,,,,,
52319,臨床牙醫學研究所,"422M1500
補綴用咬合器學（Articulators for dental prosthesis）
本課程之目的，在使補綴學組的研究生深入瞭解補綴用咬合器之功能、結構及使用適應情況。研究生於選擇指定之咬合器種類後，即作此咬合器之文獻搜尋，機械設計理念，使用步驟及限制等資料之回顧報告，然後選擇病人利用一種咬合器進行臨床應用之工作，並以幻燈片記錄使用過程，最後以完成之病例及補綴品說明如何使用該咬合器及有關之批判、檢討等之結論報告。本課程使用之咬合器為可調節式咬合器，如 Denar F5A，TMJ，及新型咬合器，如 Gnathomat，Condylator，Dentatus等。",,,,
55998,臨床牙醫學研究所,,,,,
56424,臨床牙醫學研究所,,,,,
30921,臨床牙醫學研究所,,,,,
17891,臨床牙醫學研究所,,,,,
33464,臨床牙醫學研究所,,,,,
26376,臨床牙醫學研究所,,,,,
33135,臨床牙醫學研究所,,,,,
45484,臨床牙醫學研究所,,,,,
38060,臨床牙醫學研究所,,,,,
38862,臨床牙醫學研究所,,,,,
22563,臨床牙醫學研究所,,,,,
55983,臨床牙醫學研究所,,,,,
59599,臨床牙醫學研究所,,,,,
50505,臨床牙醫學研究所,,,,,
30416,臨床牙醫學研究所,,,,,
15966,臨床牙醫學研究所,,,,,
49479,臨床牙醫學研究所,,,,,
95093,臨床牙醫學研究所,,,,,
25274,臨床牙醫學研究所,,,,,
15441,臨床牙醫學研究所,,,,,
57097,臨床牙醫學研究所,,,,,
37457,臨床牙醫學研究所,,,,,
36527,臨床牙醫學研究所,,,,,
18904,臨床牙醫學研究所,,,,,
22284,臨床牙醫學研究所,,,,,
16533,臨床牙醫學研究所,,,,,
13179,臨床牙醫學研究所,,,,,
38732,臨床牙醫學研究所,,,,,
13267,化學系,,,,,
30201,化學系,,,,,
50339,化學系,,,,,
19829,化學系,,,,,
41293,農業化學系 / 地質科學系,,,,,
27048,生化科技學系,,,,,
18450,化學系,,,,,
34535,化學系,,,,,
46660,化學系,,,,,
47861,化學系,,,,,
33527,化學系,,,,,
55738,化學系,,,,,
52785,化學系,,,,,
53530,化學系,,,,,
17955,化學系,,,,,
24659,化學系,,,,,
17988,化學系,,,,,
17356,化學系,,,,,
36519,化學系,,,,,
37184,化學系,,,,,
19409,化學系,,,,,
33485,化學系,,,,,
12051,化學系,,,,,
18042,化學系,,,,,
54228,化學系,,,,,
48973,化學系,,,,,
30120,化學系,,,,,
44140,化學工程學系,,,,,
43682,化學系,,,,,
55782,化學系,,,,,
23834,化學系,,,,,
59623,化學系,,,,,
16780,化學系,,,,,
